,date,home_team,score,away_team
3014,19-12-2023,Gaziantep BBK,2 - 2,Adana Demirspor
3015,23-12-2023,Fatih Karagümrük,0 - 3,Gaziantep BBK
3016,05-01-2024,Gaziantep BBK,2 - 2,Pendikspor
3017,10-01-2024,Hatayspor,0 - 0,Gaziantep BBK
3018,14-01-2024,Gaziantep BBK,0 - 1,Fenerbahce
3019,21-01-2024,Sivasspor,? - ?,Gaziantep BBK
3020,12-08-2023,Pendikspor,1 - 5,Hatayspor
3021,19-08-2023,Hatayspor,0 - 0,Kasimpasa
3022,27-08-2023,Alanyaspor,0 - 0,Hatayspor
3023,03-09-2023,Hatayspor,3 - 3,Adana Demirspor
3024,18-09-2023,Fatih Karagümrük,0 - 0,Hatayspor
3025,25-09-2023,Hatayspor,3 - 2,Trabzonspor
3026,30-09-2023,Sivasspor,0 - 0,Hatayspor
3027,08-10-2023,Hatayspor,3 - 1,Konyaspor
3028,22-10-2023,Fenerbahce,4 - 2,Hatayspor
3029,27-10-2023,Hatayspor,1 - 2,Kayserispor
3030,04-11-2023,Samsunspor,2 - 1,Hatayspor
3031,11-11-2023,Hatayspor,2 - 1,Galatasaray
3032,25-11-2023,İstanbulspor,2 - 1,Hatayspor
3033,01-12-2023,Hatayspor,3 - 3,Antalyaspor
3034,10-12-2023,Buyuksehyr,1 - 0,Hatayspor
3035,21-12-2023,Ankaragucu,0 - 0,Hatayspor
3036,25-12-2023,Hatayspor,1 - 2,Besiktas
3037,06-01-2024,Rizespor,2 - 0,Hatayspor
3038,10-01-2024,Hatayspor,0 - 0,Gaziantep BBK
3039,13-01-2024,Hatayspor,1 - 1,Pendikspor
3040,20-01-2024,Kasimpasa,? - ?,Hatayspor
3041,12-08-2023,Kasimpasa,3 - 2,Ankaragucu
3042,19-08-2023,Hatayspor,0 - 0,Kasimpasa
3043,26-08-2023,Kasimpasa,1 - 1,Pendikspor
3044,01-09-2023,Kasimpasa,1 - 5,Trabzonspor
3045,17-09-2023,Alanyaspor,3 - 3,Kasimpasa
3046,24-09-2023,Kasimpasa,2 - 1,Adana Demirspor
3047,01-10-2023,Fatih Karagümrük,2 - 3,Kasimpasa
3048,08-10-2023,Kasimpasa,0 - 2,Fenerbahce
3049,22-10-2023,Sivasspor,0 - 1,Kasimpasa
3050,27-10-2023,Kasimpasa,3 - 1,İstanbulspor
3051,03-11-2023,Galatasaray,2 - 1,Kasimpasa
3052,11-11-2023,Kasimpasa,3 - 4,Kayserispor
3053,25-11-2023,Konyaspor,2 - 0,Kasimpasa
3054,03-12-2023,Kasimpasa,4 - 2,Gaziantep BBK
3055,09-12-2023,Samsunspor,4 - 2,Kasimpasa
3056,20-12-2023,Antalyaspor,0 - 0,Kasimpasa
3057,25-12-2023,Kasimpasa,2 - 2,Rizespor
3058,05-01-2024,Besiktas,1 - 3,Kasimpasa
3059,09-01-2024,Kasimpasa,0 - 3,Buyuksehyr
3060,13-01-2024,Ankaragucu,3 - 1,Kasimpasa
3061,20-01-2024,Kasimpasa,? - ?,Hatayspor
3062,12-08-2023,Kayserispor,0 - 0,Galatasaray
3063,18-08-2023,İstanbulspor,1 - 1,Kayserispor
3064,27-08-2023,Kayserispor,2 - 1,Samsunspor
3065,02-09-2023,Antalyaspor,1 - 1,Kayserispor
3066,16-09-2023,Kayserispor,2 - 0,Gaziantep BBK
3067,24-09-2023,Besiktas,2 - 1,Kayserispor
3068,02-10-2023,Kayserispor,0 - 0,Buyuksehyr
3069,07-10-2023,Ankaragucu,3 - 0,Kayserispor
3070,21-10-2023,Kayserispor,3 - 1,Rizespor
3071,27-10-2023,Hatayspor,1 - 2,Kayserispor
3072,06-11-2023,Kayserispor,1 - 0,Alanyaspor
3073,11-11-2023,Kasimpasa,3 - 4,Kayserispor
3074,26-11-2023,Kayserispor,1 - 1,Adana Demirspor
3075,03-12-2023,Trabzonspor,0 - 1,Kayserispor
3076,10-12-2023,Kayserispor,2 - 0,Pendikspor
3077,20-12-2023,Kayserispor,3 - 4,Fenerbahce
3078,24-12-2023,Konyaspor,2 - 0,Kayserispor
3079,07-01-2024,Kayserispor,1 - 3,Sivasspor
3080,10-01-2024,Fatih Karagümrük,4 - 1,Kayserispor
3081,15-01-2024,Galatasaray,2 - 1,Kayserispor
3082,22-01-2024,Kayserispor,? - ?,İstanbulspor
3083,12-08-2023,Konyaspor,1 - 1,İstanbulspor
3084,18-08-2023,Antalyaspor,1 - 1,Konyaspor
3085,25-08-2023,Konyaspor,2 - 0,Gaziantep BBK
3086,02-09-2023,Buyuksehyr,0 - 1,Konyaspor
3087,16-09-2023,Konyaspor,1 - 2,Rizespor
3088,24-09-2023,Ankaragucu,1 - 1,Konyaspor
3089,01-10-2023,Konyaspor,0 - 2,Besiktas
3090,08-10-2023,Hatayspor,3 - 1,Konyaspor
3091,21-10-2023,Konyaspor,1 - 2,Pendikspor
3092,28-10-2023,Adana Demirspor,3 - 0,Konyaspor
3093,05-11-2023,Konyaspor,1 - 1,Fatih Karagümrük
3094,10-11-2023,Trabzonspor,2 - 1,Konyaspor
3095,25-11-2023,Konyaspor,2 - 0,Kasimpasa
3096,02-12-2023,Alanyaspor,2 - 2,Konyaspor
3097,11-12-2023,Konyaspor,0 - 1,Sivasspor
3098,21-12-2023,Samsunspor,1 - 1,Konyaspor
3099,24-12-2023,Konyaspor,2 - 0,Kayserispor
3100,07-01-2024,Galatasaray,3 - 0,Konyaspor
3101,10-01-2024,Fenerbahce,7 - 1,Konyaspor
3102,14-01-2024,İstanbulspor,0 - 0,Konyaspor
3103,21-01-2024,Konyaspor,? - ?,Antalyaspor
3104,12-08-2023,Pendikspor,1 - 5,Hatayspor
3105,20-08-2023,Besiktas,1 - 1,Pendikspor
3106,26-08-2023,Kasimpasa,1 - 1,Pendikspor
3107,02-09-2023,Pendikspor,1 - 1,Alanyaspor
3108,16-09-2023,Adana Demirspor,3 - 0,Pendikspor
3109,23-09-2023,Pendikspor,1 - 1,Fatih Karagümrük
3110,30-09-2023,Trabzonspor,2 - 1,Pendikspor
3111,07-10-2023,Pendikspor,2 - 3,Sivasspor
3112,21-10-2023,Konyaspor,1 - 2,Pendikspor
3113,29-10-2023,Pendikspor,0 - 5,Fenerbahce
3114,04-11-2023,İstanbulspor,2 - 4,Pendikspor
3115,12-11-2023,Pendikspor,1 - 0,Samsunspor
3116,27-11-2023,Buyuksehyr,4 - 1,Pendikspor
3117,02-12-2023,Pendikspor,0 - 2,Galatasaray
3118,10-12-2023,Kayserispor,2 - 0,Pendikspor
3119,21-12-2023,Rizespor,5 - 1,Pendikspor
3120,25-12-2023,Pendikspor,1 - 1,Ankaragucu
3121,05-01-2024,Gaziantep BBK,2 - 2,Pendikspor
3122,09-01-2024,Pendikspor,0 - 1,Antalyaspor
3123,13-01-2024,Hatayspor,1 - 1,Pendikspor
3124,20-01-2024,Pendikspor,? - ?,Besiktas
3125,13-08-2023,Adana Demirspor,2 - 1,Rizespor
3126,19-08-2023,Rizespor,0 - 0,Alanyaspor
3127,26-08-2023,Trabzonspor,2 - 3,Rizespor
3128,01-09-2023,Rizespor,1 - 0,Fatih Karagümrük
3129,16-09-2023,Konyaspor,1 - 2,Rizespor
3130,23-09-2023,Rizespor,1 - 1,Sivasspor
3131,01-10-2023,Fenerbahce,5 - 0,Rizespor
3132,08-10-2023,Rizespor,1 - 0,Samsunspor
3133,21-10-2023,Kayserispor,3 - 1,Rizespor
3134,28-10-2023,Rizespor,0 - 1,Galatasaray
3135,06-11-2023,Gaziantep BBK,2 - 0,Rizespor
3136,12-11-2023,Rizespor,1 - 0,İstanbulspor
3137,26-11-2023,Antalyaspor,0 - 0,Rizespor
3138,02-12-2023,Rizespor,3 - 2,Buyuksehyr
3139,11-12-2023,Ankaragucu,1 - 1,Rizespor
3140,21-12-2023,Rizespor,5 - 1,Pendikspor
3141,25-12-2023,Kasimpasa,2 - 2,Rizespor
3142,06-01-2024,Rizespor,2 - 0,Hatayspor
3143,09-01-2024,Rizespor,0 - 4,Besiktas
3144,13-01-2024,Rizespor,1 - 0,Adana Demirspor
3145,20-01-2024,Alanyaspor,? - ?,Rizespor
3146,13-08-2023,Sivasspor,1 - 1,Samsunspor
3147,21-08-2023,Samsunspor,0 - 2,Fenerbahce
3148,27-08-2023,Kayserispor,2 - 1,Samsunspor
3149,16-09-2023,Galatasaray,4 - 2,Samsunspor
3150,23-09-2023,Antalyaspor,2 - 0,Samsunspor
3151,29-09-2023,Samsunspor,1 - 2,Gaziantep BBK
3152,08-10-2023,Rizespor,1 - 0,Samsunspor
3153,22-10-2023,Samsunspor,0 - 0,Buyuksehyr
3154,29-10-2023,Ankaragucu,2 - 0,Samsunspor
3155,04-11-2023,Samsunspor,2 - 1,Hatayspor
3156,08-11-2023,Samsunspor,2 - 1,İstanbulspor
3157,12-11-2023,Pendikspor,1 - 0,Samsunspor
3158,26-11-2023,Samsunspor,1 - 2,Besiktas
3159,02-12-2023,Adana Demirspor,2 - 3,Samsunspor
3160,09-12-2023,Samsunspor,4 - 2,Kasimpasa
3161,21-12-2023,Samsunspor,1 - 1,Konyaspor
3162,25-12-2023,Alanyaspor,3 - 1,Samsunspor
3163,06-01-2024,Samsunspor,1 - 0,Fatih Karagümrük
3164,11-01-2024,Trabzonspor,2 - 1,Samsunspor
3165,14-01-2024,Samsunspor,2 - 0,Sivasspor
3166,21-01-2024,Fenerbahce,? - ?,Samsunspor
3167,13-08-2023,Sivasspor,1 - 1,Samsunspor
3168,20-08-2023,Gaziantep BBK,1 - 3,Sivasspor
3169,26-08-2023,Sivasspor,1 - 1,Antalyaspor
3170,03-09-2023,Besiktas,2 - 0,Sivasspor
3171,18-09-2023,Sivasspor,1 - 3,Ankaragucu
3172,23-09-2023,Rizespor,1 - 1,Sivasspor
3173,30-09-2023,Sivasspor,0 - 0,Hatayspor
3174,07-10-2023,Pendikspor,2 - 3,Sivasspor
3175,22-10-2023,Sivasspor,0 - 1,Kasimpasa
3176,28-10-2023,Alanyaspor,1 - 2,Sivasspor
3177,05-11-2023,Sivasspor,1 - 1,Adana Demirspor
3178,11-11-2023,Fatih Karagümrük,3 - 0,Sivasspor
3179,27-11-2023,Sivasspor,3 - 3,Trabzonspor
3180,04-12-2023,Fenerbahce,4 - 1,Sivasspor
3181,11-12-2023,Konyaspor,0 - 1,Sivasspor
3182,19-12-2023,Buyuksehyr,3 - 1,Sivasspor
3183,23-12-2023,Sivasspor,1 - 0,İstanbulspor
3184,07-01-2024,Kayserispor,1 - 3,Sivasspor
3185,11-01-2024,Sivasspor,1 - 1,Galatasaray
3186,14-01-2024,Samsunspor,2 - 0,Sivasspor
3187,21-01-2024,Sivasspor,? - ?,Gaziantep BBK
3188,11-08-2023,Trabzonspor,1 - 0,Antalyaspor
3189,19-08-2023,Galatasaray,2 - 0,Trabzonspor
3190,26-08-2023,Trabzonspor,2 - 3,Rizespor
3191,01-09-2023,Kasimpasa,1 - 5,Trabzonspor
3192,17-09-2023,Trabzonspor,3 - 0,Besiktas
3193,25-09-2023,Hatayspor,3 - 2,Trabzonspor
3194,30-09-2023,Trabzonspor,2 - 1,Pendikspor
3195,06-10-2023,Adana Demirspor,1 - 0,Trabzonspor
3196,23-10-2023,Trabzonspor,1 - 0,Alanyaspor
3197,29-10-2023,Fatih Karagümrük,0 - 0,Trabzonspor
3198,04-11-2023,Fenerbahce,2 - 3,Trabzonspor
3199,10-11-2023,Trabzonspor,2 - 1,Konyaspor
3200,27-11-2023,Sivasspor,3 - 3,Trabzonspor
3201,03-12-2023,Trabzonspor,0 - 1,Kayserispor
3202,10-12-2023,Gaziantep BBK,1 - 3,Trabzonspor
3203,19-12-2023,İstanbulspor,1 - 2,Trabzonspor
3204,23-12-2023,Trabzonspor,1 - 1,Buyuksehyr
3205,06-01-2024,Ankaragucu,0 - 1,Trabzonspor
3206,11-01-2024,Trabzonspor,2 - 1,Samsunspor
3207,14-01-2024,Antalyaspor,1 - 1,Trabzonspor
3208,21-01-2024,Trabzonspor,? - ?,Galatasaray
3209,12-08-2023,Konyaspor,1 - 1,İstanbulspor
3210,18-08-2023,İstanbulspor,1 - 1,Kayserispor
3211,17-09-2023,İstanbulspor,0 - 2,Buyuksehyr
3212,22-09-2023,Gaziantep BBK,2 - 0,İstanbulspor
3213,26-09-2023,İstanbulspor,0 - 1,Galatasaray
3214,30-09-2023,İstanbulspor,1 - 2,Antalyaspor
3215,08-10-2023,Besiktas,2 - 0,İstanbulspor
3216,22-10-2023,İstanbulspor,2 - 1,Ankaragucu
3217,27-10-2023,Kasimpasa,3 - 1,İstanbulspor
3218,04-11-2023,İstanbulspor,2 - 4,Pendikspor
3219,08-11-2023,Samsunspor,2 - 1,İstanbulspor
3220,12-11-2023,Rizespor,1 - 0,İstanbulspor
3221,25-11-2023,İstanbulspor,2 - 1,Hatayspor
3222,01-12-2023,Fatih Karagümrük,3 - 0,İstanbulspor
3223,10-12-2023,İstanbulspor,0 - 1,Alanyaspor
3224,19-12-2023,İstanbulspor,1 - 2,Trabzonspor
3225,23-12-2023,Sivasspor,1 - 0,İstanbulspor
3226,07-01-2024,İstanbulspor,1 - 5,Fenerbahce
3227,10-01-2024,Adana Demirspor,2 - 2,İstanbulspor
3228,14-01-2024,İstanbulspor,0 - 0,Konyaspor
3229,22-01-2024,Kayserispor,? - ?,İstanbulspor
3230,26-08-2023,AEK,1 - 1,Panserraikos
3231,03-09-2023,Volos New Football Club,2 - 3,AEK
3232,17-09-2023,AEK,1 - 1,Olympiakos
3233,25-09-2023,Panathinaikos,1 - 2,AEK
3234,28-09-2023,AEK,2 - 1,Atromitos
3235,02-10-2023,OFI,2 - 0,AEK
3236,08-10-2023,AEK,3 - 0,Panetolikos
3237,22-10-2023,Asteras Tripolis,0 - 3,AEK
3238,30-10-2023,AEK,2 - 0,PAOK
3239,04-11-2023,Kifisia,1 - 1,AEK
3240,12-11-2023,AEK,3 - 0,Lamia
3241,26-11-2023,Giannina,0 - 1,AEK
3242,04-12-2023,AEK,1 - 0,Aris Thessalon.
3243,18-12-2023,Panetolikos,2 - 2,AEK
3244,21-12-2023,Panserraikos,2 - 2,AEK
3245,03-01-2024,AEK,3 - 0,Volos New Football Club
3246,07-01-2024,Olympiakos,1 - 2,AEK
3247,14-01-2024,AEK,2 - 2,Panathinaikos
3248,21-01-2024,Atromitos,? - ?,AEK
3249,20-08-2023,OFI,3 - 2,Aris Thessalon.
3250,27-08-2023,Lamia,1 - 0,Aris Thessalon.
3251,03-09-2023,Aris Thessalon.,3 - 2,Asteras Tripolis
3252,17-09-2023,PAOK,0 - 0,Aris Thessalon.
3253,24-09-2023,Aris Thessalon.,3 - 0,Panetolikos
3254,27-09-2023,Olympiakos,4 - 1,Aris Thessalon.
3255,01-10-2023,Aris Thessalon.,1 - 1,Kifisia
3256,21-10-2023,Aris Thessalon.,1 - 0,Panserraikos
3257,29-10-2023,Aris Thessalon.,2 - 0,Giannina
3258,05-11-2023,Aris Thessalon.,1 - 3,Atromitos
3259,11-11-2023,Volos New Football Club,0 - 2,Aris Thessalon.
3260,26-11-2023,Aris Thessalon.,2 - 0,Panathinaikos
3261,04-12-2023,AEK,1 - 0,Aris Thessalon.
3262,17-12-2023,Aris Thessalon.,1 - 0,OFI
3263,20-12-2023,Aris Thessalon.,2 - 2,Lamia
3264,03-01-2024,Asteras Tripolis,3 - 2,Aris Thessalon.
3265,07-01-2024,Aris Thessalon.,2 - 1,PAOK
3266,14-01-2024,Panetolikos,0 - 4,Aris Thessalon.
3267,21-01-2024,Aris Thessalon.,? - ?,Olympiakos
3268,20-08-2023,PAOK,3 - 0,Asteras Tripolis
3269,26-08-2023,Asteras Tripolis,3 - 0,OFI
3270,03-09-2023,Aris Thessalon.,3 - 2,Asteras Tripolis
3271,17-09-2023,Asteras Tripolis,2 - 2,Giannina
3272,24-09-2023,Volos New Football Club,1 - 2,Asteras Tripolis
3273,28-09-2023,Asteras Tripolis,1 - 4,Panathinaikos
3274,02-10-2023,Atromitos,0 - 0,Asteras Tripolis
3275,22-10-2023,Asteras Tripolis,0 - 3,AEK
3276,29-10-2023,Asteras Tripolis,0 - 1,Lamia
3277,05-11-2023,Panetolikos,0 - 1,Asteras Tripolis
3278,12-11-2023,Asteras Tripolis,0 - 2,Olympiakos
3279,26-11-2023,Kifisia,1 - 3,Asteras Tripolis
3280,02-12-2023,Asteras Tripolis,1 - 0,Panserraikos
3281,17-12-2023,Asteras Tripolis,1 - 4,PAOK
3282,21-12-2023,OFI,0 - 2,Asteras Tripolis
3283,03-01-2024,Asteras Tripolis,3 - 2,Aris Thessalon.
3284,07-01-2024,Giannina,2 - 1,Asteras Tripolis
3285,14-01-2024,Asteras Tripolis,1 - 0,Volos New Football Club
3286,21-01-2024,Panathinaikos,? - ?,Asteras Tripolis
3287,27-08-2023,Olympiakos,4 - 0,Atromitos
3288,01-09-2023,Kifisia,2 - 1,Atromitos
3289,18-09-2023,Atromitos,1 - 1,Volos New Football Club
3290,23-09-2023,OFI,1 - 1,Atromitos
3291,28-09-2023,AEK,2 - 1,Atromitos
3292,02-10-2023,Atromitos,0 - 0,Asteras Tripolis
3293,08-10-2023,Panathinaikos,5 - 0,Atromitos
3294,22-10-2023,PAOK,2 - 0,Atromitos
3295,28-10-2023,Atromitos,3 - 2,Panetolikos
3296,05-11-2023,Aris Thessalon.,1 - 3,Atromitos
3297,11-11-2023,Atromitos,1 - 1,Panserraikos
3298,26-11-2023,Lamia,3 - 3,Atromitos
3299,03-12-2023,Atromitos,1 - 1,Giannina
3300,17-12-2023,Atromitos,3 - 2,Panathinaikos
3301,21-12-2023,Atromitos,0 - 0,Olympiakos
3302,04-01-2024,Atromitos,3 - 0,Kifisia
3303,07-01-2024,Volos New Football Club,1 - 2,Atromitos
3304,13-01-2024,Atromitos,1 - 1,OFI
3305,21-01-2024,Atromitos,? - ?,AEK
3306,20-08-2023,Giannina,3 - 0,Kifisia
3307,25-08-2023,Panetolikos,0 - 0,Giannina
3308,03-09-2023,Giannina,0 - 1,Panathinaikos
3309,17-09-2023,Asteras Tripolis,2 - 2,Giannina
3310,24-09-2023,Giannina,1 - 3,PAOK
3311,28-09-2023,Panserraikos,3 - 2,Giannina
3312,01-10-2023,Giannina,0 - 3,Olympiakos
3313,20-10-2023,Lamia,2 - 1,Giannina
3314,29-10-2023,Aris Thessalon.,2 - 0,Giannina
3315,05-11-2023,Giannina,1 - 1,Volos New Football Club
3316,11-11-2023,OFI,1 - 1,Giannina
3317,26-11-2023,Giannina,0 - 1,AEK
3318,03-12-2023,Atromitos,1 - 1,Giannina
3319,16-12-2023,Kifisia,4 - 2,Giannina
3320,21-12-2023,Giannina,0 - 0,Panetolikos
3321,03-01-2024,Panathinaikos,2 - 0,Giannina
3322,07-01-2024,Giannina,2 - 1,Asteras Tripolis
3323,14-01-2024,PAOK,4 - 0,Giannina
3324,20-01-2024,Giannina,? - ?,Panserraikos
3325,20-08-2023,Giannina,3 - 0,Kifisia
3326,27-08-2023,PAOK,2 - 1,Kifisia
3327,01-09-2023,Kifisia,2 - 1,Atromitos
3328,17-09-2023,Kifisia,4 - 4,Panserraikos
3329,24-09-2023,Olympiakos,4 - 0,Kifisia
3330,27-09-2023,Kifisia,1 - 1,Lamia
3331,01-10-2023,Aris Thessalon.,1 - 1,Kifisia
3332,22-10-2023,Kifisia,0 - 0,OFI
3333,28-10-2023,Volos New Football Club,2 - 1,Kifisia
3334,04-11-2023,Kifisia,1 - 1,AEK
3335,12-11-2023,Kifisia,0 - 1,Panathinaikos
3336,26-11-2023,Kifisia,1 - 3,Asteras Tripolis
3337,02-12-2023,Panetolikos,3 - 0,Kifisia
3338,16-12-2023,Kifisia,4 - 2,Giannina
3339,21-12-2023,Kifisia,0 - 6,PAOK
3340,04-01-2024,Atromitos,3 - 0,Kifisia
3341,07-01-2024,Panserraikos,1 - 1,Kifisia
3342,14-01-2024,Kifisia,2 - 3,Olympiakos
3343,20-01-2024,Lamia,? - ?,Kifisia
3344,18-08-2023,Volos New Football Club,2 - 2,Lamia
3345,27-08-2023,Lamia,1 - 0,Aris Thessalon.
3346,03-09-2023,Olympiakos,4 - 0,Lamia
3347,16-09-2023,Lamia,2 - 2,OFI
3348,23-09-2023,Panserraikos,2 - 0,Lamia
3349,27-09-2023,Kifisia,1 - 1,Lamia
3350,01-10-2023,Lamia,1 - 0,Panetolikos
3351,20-10-2023,Lamia,2 - 1,Giannina
3352,29-10-2023,Asteras Tripolis,0 - 1,Lamia
3353,04-11-2023,Lamia,1 - 2,Panathinaikos
3354,12-11-2023,AEK,3 - 0,Lamia
3355,26-11-2023,Lamia,3 - 3,Atromitos
3356,04-12-2023,PAOK,3 - 0,Lamia
3357,17-12-2023,Lamia,1 - 2,Volos New Football Club
3358,20-12-2023,Aris Thessalon.,2 - 2,Lamia
3359,03-01-2024,Lamia,1 - 0,Olympiakos
3360,08-01-2024,OFI,1 - 1,Lamia
3361,13-01-2024,Lamia,0 - 2,Panserraikos
3362,20-01-2024,Lamia,? - ?,Kifisia
3363,20-08-2023,OFI,3 - 2,Aris Thessalon.
3364,26-08-2023,Asteras Tripolis,3 - 0,OFI
3365,03-09-2023,OFI,1 - 0,PAOK
3366,16-09-2023,Lamia,2 - 2,OFI
3367,23-09-2023,OFI,1 - 1,Atromitos
3368,27-09-2023,Panetolikos,1 - 1,OFI
3369,02-10-2023,OFI,2 - 0,AEK
3370,22-10-2023,Kifisia,0 - 0,OFI
3371,30-10-2023,OFI,0 - 2,Olympiakos
3372,06-11-2023,Panserraikos,2 - 1,OFI
3373,11-11-2023,OFI,1 - 1,Giannina
3374,24-11-2023,OFI,1 - 1,Volos New Football Club
3375,03-12-2023,Panathinaikos,4 - 0,OFI
3376,17-12-2023,Aris Thessalon.,1 - 0,OFI
3377,21-12-2023,OFI,0 - 2,Asteras Tripolis
3378,03-01-2024,PAOK,4 - 0,OFI
3379,08-01-2024,OFI,1 - 1,Lamia
3380,13-01-2024,Atromitos,1 - 1,OFI
3381,20-01-2024,OFI,? - ?,Panetolikos
3382,20-08-2023,Olympiakos,2 - 0,Panserraikos
3383,27-08-2023,Olympiakos,4 - 0,Atromitos
3384,03-09-2023,Olympiakos,4 - 0,Lamia
3385,17-09-2023,AEK,1 - 1,Olympiakos
3386,24-09-2023,Olympiakos,4 - 0,Kifisia
3387,27-09-2023,Olympiakos,4 - 1,Aris Thessalon.
3388,01-10-2023,Giannina,0 - 3,Olympiakos
3389,22-10-2023,Olympiakos,1 - 1,Panathinaikos
3390,30-10-2023,OFI,0 - 2,Olympiakos
3391,05-11-2023,Olympiakos,2 - 4,PAOK
3392,12-11-2023,Asteras Tripolis,0 - 2,Olympiakos
3393,25-11-2023,Olympiakos,3 - 1,Panetolikos
3394,03-12-2023,Volos New Football Club,2 - 2,Olympiakos
3395,18-12-2023,Panserraikos,0 - 1,Olympiakos
3396,21-12-2023,Atromitos,0 - 0,Olympiakos
3397,03-01-2024,Lamia,1 - 0,Olympiakos
3398,07-01-2024,Olympiakos,1 - 2,AEK
3399,14-01-2024,Kifisia,2 - 3,Olympiakos
3400,21-01-2024,Aris Thessalon.,? - ?,Olympiakos
3401,20-08-2023,PAOK,3 - 0,Asteras Tripolis
3402,27-08-2023,PAOK,2 - 1,Kifisia
3403,03-09-2023,OFI,1 - 0,PAOK
3404,17-09-2023,PAOK,0 - 0,Aris Thessalon.
3405,24-09-2023,Giannina,1 - 3,PAOK
3406,27-09-2023,PAOK,3 - 0,Volos New Football Club
3407,01-10-2023,Panathinaikos,2 - 2,PAOK
3408,22-10-2023,PAOK,2 - 0,Atromitos
3409,30-10-2023,AEK,2 - 0,PAOK
3410,05-11-2023,Olympiakos,2 - 4,PAOK
3411,12-11-2023,PAOK,2 - 1,Panetolikos
3412,25-11-2023,PAOK,5 - 0,Panserraikos
3413,04-12-2023,PAOK,3 - 0,Lamia
3414,17-12-2023,Asteras Tripolis,1 - 4,PAOK
3415,21-12-2023,Kifisia,0 - 6,PAOK
3416,03-01-2024,PAOK,4 - 0,OFI
3417,07-01-2024,Aris Thessalon.,2 - 1,PAOK
3418,14-01-2024,PAOK,4 - 0,Giannina
3419,21-01-2024,Volos New Football Club,? - ?,PAOK
3420,26-08-2023,Panathinaikos,3 - 0,Volos New Football Club
3421,03-09-2023,Giannina,0 - 1,Panathinaikos
3422,16-09-2023,Panetolikos,0 - 5,Panathinaikos
3423,25-09-2023,Panathinaikos,1 - 2,AEK
3424,28-09-2023,Asteras Tripolis,1 - 4,Panathinaikos
3425,01-10-2023,Panathinaikos,2 - 2,PAOK
3426,08-10-2023,Panathinaikos,5 - 0,Atromitos
3427,22-10-2023,Olympiakos,1 - 1,Panathinaikos
3428,29-10-2023,Panathinaikos,5 - 0,Panserraikos
3429,04-11-2023,Lamia,1 - 2,Panathinaikos
3430,12-11-2023,Kifisia,0 - 1,Panathinaikos
3431,26-11-2023,Aris Thessalon.,2 - 0,Panathinaikos
3432,03-12-2023,Panathinaikos,4 - 0,OFI
3433,17-12-2023,Atromitos,3 - 2,Panathinaikos
3434,20-12-2023,Volos New Football Club,0 - 3,Panathinaikos
3435,03-01-2024,Panathinaikos,2 - 0,Giannina
3436,07-01-2024,Panathinaikos,2 - 1,Panetolikos
3437,14-01-2024,AEK,2 - 2,Panathinaikos
3438,21-01-2024,Panathinaikos,? - ?,Asteras Tripolis
3439,25-08-2023,Panetolikos,0 - 0,Giannina
3440,02-09-2023,Panserraikos,1 - 1,Panetolikos
3441,16-09-2023,Panetolikos,0 - 5,Panathinaikos
3442,24-09-2023,Aris Thessalon.,3 - 0,Panetolikos
3443,27-09-2023,Panetolikos,1 - 1,OFI
3444,01-10-2023,Lamia,1 - 0,Panetolikos
3445,08-10-2023,AEK,3 - 0,Panetolikos
3446,21-10-2023,Panetolikos,2 - 0,Volos New Football Club
3447,28-10-2023,Atromitos,3 - 2,Panetolikos
3448,05-11-2023,Panetolikos,0 - 1,Asteras Tripolis
3449,12-11-2023,PAOK,2 - 1,Panetolikos
3450,25-11-2023,Olympiakos,3 - 1,Panetolikos
3451,02-12-2023,Panetolikos,3 - 0,Kifisia
3452,18-12-2023,Panetolikos,2 - 2,AEK
3453,21-12-2023,Giannina,0 - 0,Panetolikos
3454,04-01-2024,Panetolikos,3 - 2,Panserraikos
3455,07-01-2024,Panathinaikos,2 - 1,Panetolikos
3456,14-01-2024,Panetolikos,0 - 4,Aris Thessalon.
3457,20-01-2024,OFI,? - ?,Panetolikos
3458,20-08-2023,Olympiakos,2 - 0,Panserraikos
3459,26-08-2023,AEK,1 - 1,Panserraikos
3460,02-09-2023,Panserraikos,1 - 1,Panetolikos
3461,17-09-2023,Kifisia,4 - 4,Panserraikos
3462,23-09-2023,Panserraikos,2 - 0,Lamia
3463,28-09-2023,Panserraikos,3 - 2,Giannina
3464,21-10-2023,Aris Thessalon.,1 - 0,Panserraikos
3465,29-10-2023,Panathinaikos,5 - 0,Panserraikos
3466,06-11-2023,Panserraikos,2 - 1,OFI
3467,11-11-2023,Atromitos,1 - 1,Panserraikos
3468,25-11-2023,PAOK,5 - 0,Panserraikos
3469,29-11-2023,Volos New Football Club,1 - 0,Panserraikos
3470,02-12-2023,Asteras Tripolis,1 - 0,Panserraikos
3471,18-12-2023,Panserraikos,0 - 1,Olympiakos
3472,21-12-2023,Panserraikos,2 - 2,AEK
3473,04-01-2024,Panetolikos,3 - 2,Panserraikos
3474,07-01-2024,Panserraikos,1 - 1,Kifisia
3475,13-01-2024,Lamia,0 - 2,Panserraikos
3476,20-01-2024,Giannina,? - ?,Panserraikos
3477,18-08-2023,Volos New Football Club,2 - 2,Lamia
3478,26-08-2023,Panathinaikos,3 - 0,Volos New Football Club
3479,03-09-2023,Volos New Football Club,2 - 3,AEK
